頻道名稱,頻道ID,傳送門,頻道加入時間,影片數,觀看次數,訂閱數,所屬
Tia Miu Ch.ミウ🤍,UC2uiZzfcPQy_wWRzPxYVB_Q,https://www.youtube.com/@tiamiuuu,2021-07-09,283,83549,2650,
森原雫 Ch.,UCi_xYa2pov9m8fcDSaJ5pXg,https://www.youtube.com/@ch-xx2pv,2023-01-18,2,461,106,StRine Office
黑狐玄冥BF.Genmei,UCEXm66Ir_G959wJxHZivxEg,https://www.youtube.com/@bf.genmei,2021-05-16,9,419,94,
Flower大宇宙花,UCWMGMyI8TCcva5qhqQSdIQg,https://www.youtube.com/@flower8276,2021-04-13,63,2951,60,DailouLive
Akuri Ch.闇雲あくり,UCPBtb_vUbLduPNsNhHMJ_PA,https://www.youtube.com/@yamikumo_akuri,2019-06-03,32,1085,81,2VR_Studio
伊果 Ch.,UCh-Q3CeZo3C9TUFIGAWByig,https://www.youtube.com/@eagle_vtb,2021-01-13,309,31932,863,
小雜碎 Channel,UCScoDBw9GYbkRiw_eCPa1qQ,https://www.youtube.com/@bk20112,2013-09-29,32,1078,128,
莓莓 MeiMei,UC1Ye10w8LrTf6reS3Z-VwiQ,https://www.youtube.com/@meimei-xb4mq,2014-11-15,7,1583586,84600,
林冠生Lîm Koàn-seng,UCXx0Uqtf_qX8PABIAtHq6bA,https://www.youtube.com/@limkoanseng,2022-08-05,78,19342,851,神霄
Lutralutra Ch. 露恰露恰,UCmyc8eVR3G9A7hjaHsLR6NQ,https://www.youtube.com/@lutra_rescute,2021-04-23,408,3444305,75500,SquareLive
闇乃アミナ Amina ch. / Yamino Amina,UCQlDaDb5Rn7V0dBS5cR6npQ,https://www.youtube.com/@yaminoamina,2022-02-16,29,4405,485,
肯蘿琳Carolyn,UCcP-_Jcf-JEIPueZRzG9zfg,https://www.youtube.com/@carolyn_522,2022-02-21,23,17144,759,
米樂 Millet_Ch,UC3z3JheDfMMuIAs4lgnlQNw,https://www.youtube.com/@millet.0808,2022-08-11,16,673,92,
幽虎 ch.,UCwqWd1WJ9R1obztkPhl5MPw,https://www.youtube.com/@ch.213,2020-05-23,121,21221,312,
米茶 Micha channel,UCqi6tUjjWprkVEhbhR92plQ,https://www.youtube.com/@michachannel,2021-01-09,123,53361,1960,
